endTime,artistName,trackName,msPlayed
2022-10-18 11:39,Rema,Bounce,187782
2022-10-18 12:19,Diamond Platnumz,"IYO (feat. Focalistic, Mapara A Jazz, & Ntosh Gazi)",245795
2022-10-18 12:31,Diamond Platnumz,"IYO (feat. Focalistic, Mapara A Jazz, & Ntosh Gazi)",331167
2022-10-18 12:34,LADIPOE,Feeling,224000
2022-10-18 12:38,Adekunle Gold,High,193758
2022-10-18 12:42,Rexxie,KPK (Remix),194557
2022-10-18 12:43,Mafikizolo,Khona,107974
2022-10-18 12:43,Mariechan,Everything I Wanted (DJ Maphorisa & Kabza De Small Mix),6020
2022-10-18 12:47,Ruger,Dior,192750
2022-10-18 12:53,Asake,Sungba (feat. Burna Boy) - Remix,210000
2022-10-18 12:58,Pheelz,Finesse,151764
2022-10-18 13:02,Rema,Calm Down,219813
2022-10-18 13:05,Tayc,D O D O - Adekunle Gold Version,179884
2022-10-18 13:16,Mayorkun,Holy Father,10857
2022-10-18 13:19,Adekunle Gold,"Dior, Dior, Dior",196750
2022-10-18 13:20,Adekunle Gold,High,16242
2022-10-18 13:23,Adekunle Gold,"Dior, Dior, Dior",196750
2022-10-18 13:26,Adekunle Gold,High,193758
2022-10-18 13:29,Adekunle Gold,It Is What It Is,174587
2022-10-18 13:32,Adekunle Gold,Mase Mi,192000
2022-10-18 13:38,Adekunle Gold,More Than Enough,88254
2022-10-18 13:41,Team Astro,2112,163269
2022-10-18 13:43,Blue Wednesday,Japanese Garden,138035
2022-10-18 13:44,another silent weekend,like old times,52665
2022-10-18 14:58,Adekunle Gold,Sleep,980
2022-10-18 15:01,Adekunle Gold,It Is What It Is,174587
2022-10-18 15:02,Adekunle Gold,Selah,59342
2022-10-18 15:04,Adekunle Gold,It Is What It Is,125577
2022-10-18 17:30,Adekunle Gold,FYE,210000
2022-10-18 17:33,Adekunle Gold,One Woman,160799
2022-10-18 17:33,Adekunle Gold,More Than Enough,12620
2022-10-18 17:37,Limoblaze,Your Love,224208
2022-10-18 17:40,Limoblaze,For Me,194063
2022-10-18 17:44,CalledOut Music,Love Around,244467
2022-10-18 17:48,Gil Joe,Far and Wide (feat. Nkay),230009
2022-10-18 17:48,Gil Joe,TMG (Too Much Grace),3660
2022-10-19 05:31,Asake,Dupe,162711
2022-10-19 05:33,Asake,Muse,117551
2022-10-19 05:36,Asake,Joha,148000
2022-10-19 05:39,Asake,Nzaza,183829
2022-10-19 05:41,Asake,Ototo,156734
2022-10-19 05:44,Asake,Reason (feat. Russ),131764
2022-10-19 05:46,Asake,Sunmomi,168421
2022-10-19 05:50,Asake,Sungba (feat. Burna Boy) - Remix,210000
2022-10-19 05:52,Asake,Terminator,144490
2022-10-19 05:54,Asake,Muse,117551
2022-10-19 05:57,Asake,Joha,148000
2022-10-19 06:00,Asake,Nzaza,183829
2022-10-19 06:00,Asake,Ototo,4101
2022-10-20 09:04,Adekunle Gold,Born Again,88696
2022-10-20 10:41,Joeboy,Sip (Alcohol),2400
2022-10-20 10:45,DJ Tarico,Yaba Buluku (feat. Preck & Nelson Tivane) - Remix,214408
2022-10-20 10:49,Rema,Woman,238911
2022-10-20 10:52,Rema,Bounce,187782
2022-10-20 10:57,Diamond Platnumz,"IYO (feat. Focalistic, Mapara A Jazz, & Ntosh Gazi)",277428
2022-10-20 11:01,LADIPOE,Feeling,224000
2022-10-20 11:04,Adekunle Gold,High,193758
2022-10-20 11:07,Rexxie,KPK (Remix),194557
2022-10-20 11:12,Mafikizolo,Khona,295640
2022-10-20 11:20,Ruger,Dior,8210
2022-10-20 11:20,Mariechan,Everything I Wanted (DJ Maphorisa & Kabza De Small Mix),459281
2022-10-20 11:24,Asake,Sungba (feat. Burna Boy) - Remix,210000
2022-10-20 11:26,Pheelz,Finesse,151764
2022-10-20 11:27,Rema,Calm Down,60495
2022-10-20 11:30,Tayc,D O D O - Adekunle Gold Version,179884
2022-10-20 11:33,Mayorkun,Holy Father,184000
2022-10-20 11:38,Pabi Cooper,Banyana Ke Bafana,274153
2022-10-20 11:40,Joeboy,Cubana,129544
2022-10-20 11:43,KiDi,Touch It - Remix,181973
2022-10-20 11:46,Omah Lay,Understand,174545
2022-10-20 11:49,Jorja Smith,Be Honest (feat. Burna Boy),207030
2022-10-20 11:53,Black Sherif,Second Sermon - Remix,194863
2022-10-20 11:58,Major League Djz,Dinaledi,325899
2022-10-20 12:43,Major League Djz,Dinaledi,495746
2022-10-20 12:50,DJ Maphorisa,"Ba Straata (feat. 2woshort, Stompiiey, ShaunMusiQ, Ftears & Madumane)",402890
2022-10-20 12:53,Sha Sha,iPiano (feat. Felo Le Tee),192892
2022-10-20 15:50,Ruger,Girlfriend,17077
2022-10-20 15:55,Ruger,Girlfriend,271026
2022-10-20 15:57,Chris Brown,Call Me Every Day (feat. Wizkid),146840
2022-10-20 16:00,Victony,Soweto,148000
2022-10-20 16:03,Babyboy AV,Confession,188629
2022-10-20 16:05,Kizz Daniel,Lie,156600
2022-10-20 16:09,Vector,Early Momo,193000
2022-10-20 16:12,Ajebutter22,King of Parole,196529
2022-10-20 16:15,Adekunle Gold,Okay,186299
2022-10-20 16:19,Burna Boy,It's Plenty,216992
2022-10-20 16:21,T.I BLAZE,Try,133773
2022-10-20 16:23,Kizz Daniel,Boys Are Bad,137000
2022-10-20 16:26,Olamide,Rock,185769
2022-10-20 16:30,NATIVE Sound System,Runaway (with Lojay & Ayra Starr),220894
2022-10-20 16:34,Lojay,Monalisa,213991
2022-10-20 16:36,Burna Boy,Last Last,172342
2022-10-20 16:39,Ruger,WeWe,173617
2022-10-20 16:42,Kizz Daniel,Pour Me Water,146399
2022-10-20 16:45,Adekunle Gold,Mercy,167500
2022-10-20 16:47,Ayra Starr,Bloody Samaritan (with Kelly Rowland) - Remix,128338
2022-10-20 16:50,Ruger,Girlfriend,196800
2022-10-20 16:51,Ayra Starr,Bloody Samaritan (with Kelly Rowland) - Remix,37407
2022-10-20 16:54,Victony,All Power,175333
2022-10-20 16:57,Muni Long,Hrs & Hrs,20631
2022-10-20 16:57,Lucky Daye,Good & Plenty - Remix,204705
2022-10-21 02:09,Ayra Starr,Bloody Samaritan (with Kelly Rowland) - Remix,96550
2022-10-21 02:09,Asake,Dull,11754
2022-10-21 12:12,Planetshakers,Way Truth Life - Live,200360
2022-10-21 12:18,DJ Maphorisa,"Ba Straata (feat. 2woshort, Stompiiey, ShaunMusiQ, Ftears & Madumane)",379580
2022-10-21 12:18,Limoblaze,For Me,8370
2022-10-21 12:19,TorQue MuziQ,Afro Worshippers,15420
2022-10-21 12:24,Limoblaze,Your Love,213520
2022-10-21 12:24,Limoblaze,For Me,1760
2022-10-21 12:26,CalledOut Music,Love Around,142850
2022-10-21 12:33,Ruger,Girlfriend,196800
2022-10-21 12:36,Asake,Terminator,155897
2022-10-21 12:38,Chris Brown,Call Me Every Day (feat. Wizkid),146840
2022-10-21 12:40,Miles Carter,Rise,6830
2022-10-21 12:40,Victony,Soweto,90812
2022-10-21 12:41,Kunai Chrome,Letter from Khromë Interlude,36067
2022-10-21 12:45,The Children of Light,Father's Lullaby,232695
2022-10-21 12:48,Lord's Child,Wars,203720
2022-10-21 12:51,Madison Ryann Ward,Higher,184295
2022-10-21 12:52,Rachel Chinouriri,So My Darling - Acoustic,37140
2022-10-21 15:19,Adekunle Gold,It Is What It Is,104341
2022-10-21 16:13,The Children of Light,Father's Lullaby,890
2022-10-21 16:17,Rachel Chinouriri,So My Darling - Acoustic,228922
2022-10-21 16:19,Miles Carter,Self Reflection,91376
2022-10-21 16:20,Miguel,Girl With The Tattoo Enter.lewd,102813
2022-10-21 16:22,Giveon,Stuck On You,96827
2022-10-21 16:36,Drake,Chicago Freestyle (feat. Giveon),75810
2022-10-21 16:40,Giveon,Like I Want You,260776
2022-10-21 16:44,Giveon,Lie Again,1680
2022-10-21 16:44,Giveon,Stuck On You,26882
2022-10-21 16:44,Giveon,For Tonight,193821
2022-10-21 16:47,Giveon,Garden Kisses,180660
2022-10-22 12:08,Kizz Daniel,Cough (Odo),176134
2022-10-22 12:12,Kizz Daniel,Cough (Odo),175410
2022-10-22 12:15,Kizz Daniel,Cough (Odo),176134
2022-10-22 12:21,Tekey tiwa,Arewa,61120
2022-10-22 12:22,Tasha Cobbs Leonard,Glory Glory Hallelujah - Live,27940
